Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24061,Richmond--Arthabaska,44080,1320425000 ,3060 ,3680 ,5640 ,6650 ,4720 ,3540 ,3120 ,2970 ,2630 ,1770 ,1350 ,1010 ,1470 ,1030 ,490 ,270 ,440 ,150 ,80 ,
24,24062,Rivière-des-Mille-Îles,43300,1597282000 ,3400 ,3160 ,4030 ,4790 ,3800 ,3000 ,2830 ,2840 ,2690 ,2210 ,1810 ,1500 ,2240 ,1870 ,1000 ,660 ,1010 ,310 ,150 ,
24,24063,Rivière-du-Nord,45980,1437936000 ,3450 ,3840 ,5250 ,6260 ,4660 ,3540 ,3180 ,3110 ,2780 ,2060 ,1570 ,1230 ,1710 ,1420 ,680 ,410 ,580 ,150 ,70 ,
24,24064,Rosemont--La Petite-Patrie,45270,1668460000 ,3730 ,3480 ,4350 ,5550 ,3680 ,2870 ,2690 ,2740 ,2490 ,2170 ,1860 ,1560 ,2590 ,1960 ,1160 ,710 ,1230 ,340 ,130 ,
24,24065,Marc-Aurèle-Fortin,40950,1588312000 ,3760 ,2700 ,3580 ,3670 ,3280 ,2610 ,2390 ,2600 ,2720 ,2190 ,1890 ,1510 ,2420 ,2040 ,1200 ,730 ,1230 ,350 ,100 ,
24,24066,Saint-Hyacinthe--Bagot,41560,1293081000 ,3000 ,3290 ,4810 ,5710 ,4330 ,3340 ,3040 ,3060 ,2730 ,1910 ,1350 ,1060 ,1340 ,1050 ,520 ,330 ,460 ,170 ,90 ,
24,24067,Saint-Jean,45610,1546992000 ,3280 ,3380 ,4840 ,5660 ,4500 ,3490 ,3230 ,2980 ,2870 ,2270 ,1720 ,1310 ,2080 ,1650 ,790 ,480 ,770 ,200 ,110 ,
24,24068,Saint-Laurent,40070,1345094000 ,6940 ,3620 ,4290 ,4610 ,3080 ,2350 ,1960 ,1860 ,1640 ,1450 ,1160 ,980 ,1480 ,1270 ,840 ,550 ,1300 ,470 ,210 ,
24,24069,Saint-Léonard--Saint-Michel,45600,1173828000 ,6710 ,4860 ,5840 ,6460 ,4750 ,3260 ,2630 ,2420 ,1970 ,1470 ,1070 ,820 ,1060 ,800 ,470 ,280 ,510 ,160 ,60 ,
24,24070,Saint-Maurice--Champlain,46860,1324676000 ,3990 ,4040 ,5920 ,7530 ,5000 ,3530 ,3070 ,3050 ,2640 ,1880 ,1350 ,1050 ,1410 ,1100 ,460 ,270 ,380 ,140 ,50 ,
24,24071,Salaberry--Suroît,47340,1425840000 ,4300 ,4050 ,5480 ,6470 ,4890 ,3550 ,3280 ,3050 ,2700 ,2100 ,1530 ,1170 ,1720 ,1280 ,680 ,350 ,510 ,190 ,60 ,
