Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
35,35014,Bruce--Grey--Owen Sound,31670,13099000 ,28940 ,11010000 ,1270 ,890000 ,800 ,603000 ,660 ,596000 ,,,,,,,,,,,,
35,35015,Burlington,30100,11670000 ,28260 ,10279000 ,940 ,658000 ,610 ,470000 ,290 ,263000 ,,,,,,,,,,,,
35,35016,Cambridge,32380,13349000 ,29310 ,10994000 ,1510 ,1066000 ,970 ,750000 ,590 ,539000 ,,,,,,,,,,,,
35,35017,Chatham-Kent--Leamington,34910,14588000 ,31270 ,11722000 ,1550 ,1103000 ,1070 ,817000 ,1020 ,947000 ,,,,,,,,,,,,
35,35018,Davenport,37820,15438000 ,35470 ,13638000 ,1260 ,880000 ,730 ,577000 ,370 ,342000 ,,,,,,,,,,,,
35,35019,Don Valley East,32740,14121000 ,28480 ,10738000 ,1840 ,1287000 ,1460 ,1160000 ,970 ,935000 ,,,,,,,,,,,,
35,35020,Don Valley North,39000,16205000 ,34900 ,13131000 ,2210 ,1504000 ,1370 ,1060000 ,520 ,510000 ,,,,,,,,,,,,
35,35021,Don Valley West,25400,10789000 ,22160 ,8133000 ,1210 ,831000 ,1050 ,840000 ,980 ,985000 ,,,,,,,,,,,,
35,35022,Dufferin--Caledon,30600,12089000 ,28090 ,10224000 ,1250 ,871000 ,830 ,612000 ,430 ,382000 ,,,,,,,,,,,,
35,35023,Durham,29510,11728000 ,26930 ,9754000 ,1330 ,940000 ,790 ,609000 ,470 ,426000 ,,,,,,,,,,,,
35,35024,Eglinton--Lawrence,32930,13486000 ,30110 ,11211000 ,1400 ,1012000 ,860 ,675000 ,570 ,587000 ,,,,,,,,,,,,
35,35025,Elgin--Middlesex--London,30660,12684000 ,27510 ,10186000 ,1330 ,908000 ,830 ,638000 ,1000 ,953000 ,,,,,,,,,,,,
35,35026,Essex,28040,10845000 ,26080 ,9379000 ,960 ,669000 ,590 ,442000 ,420 ,356000 ,,,,,,,,,,,,
35,35027,Etobicoke Centre,33850,13590000 ,31080 ,11426000 ,1330 ,934000 ,910 ,711000 ,530 ,518000 ,,,,,,,,,,,,
35,35028,Etobicoke--Lakeshore,36650,14617000 ,34260 ,12782000 ,1360 ,967000 ,730 ,574000 ,310 ,294000 ,,,,,,,,,,,,
35,35029,Etobicoke North,48530,21618000 ,41230 ,15653000 ,3150 ,2271000 ,2450 ,1952000 ,1700 ,1743000 ,,,,,,,,,,,,
35,35030,Flamborough--Glanbrook,22430,8917000 ,20430 ,7369000 ,860 ,590000 ,670 ,510000 ,480 ,448000 ,,,,,,,,,,,,
35,35031,Glengarry--Prescott--Russell,28960,11590000 ,26960 ,10113000 ,1010 ,672000 ,600 ,444000 ,400 ,362000 ,,,,,,,,,,,,
35,35032,Guelph,34690,13786000 ,31780 ,11600000 ,1440 ,1000000 ,950 ,726000 ,520 ,460000 ,,,,,,,,,,,,
35,35033,Haldimand--Norfolk,30700,12615000 ,28040 ,10497000 ,1220 ,865000 ,700 ,539000 ,740 ,714000 ,,,,,,,,,,,,
35,35034,Haliburton--Kawartha Lakes--Brock,32390,13179000 ,30010 ,11368000 ,1200 ,852000 ,740 ,577000 ,440 ,382000 ,,,,,,,,,,,,
35,35035,Hamilton Centre,40740,17551000 ,36980 ,14456000 ,1730 ,1264000 ,1140 ,941000 ,880 ,890000 ,,,,,,,,,,,,
35,35036,Hamilton East--Stoney Creek,35740,14863000 ,32340 ,12166000 ,1660 ,1179000 ,1040 ,836000 ,710 ,682000 ,,,,,,,,,,,,
35,35037,Hamilton Mountain,34480,14307000 ,31090 ,11595000 ,1600 ,1153000 ,1030 ,819000 ,760 ,741000 ,,,,,,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,29300,11521000 ,26970 ,9690000 ,1100 ,779000 ,710 ,551000 ,520 ,502000 ,,,,,,,,,,,,
35,35039,Hastings--Lennox and Addington,30660,12813000 ,27860 ,10662000 ,1330 ,932000 ,860 ,662000 ,610 ,557000 ,,,,,,,,,,,,
35,35040,Huron--Bruce,26270,10575000 ,24200 ,8975000 ,940 ,666000 ,640 ,489000 ,500 ,446000 ,,,,,,,,,,,,
35,35041,Kanata--Carleton,21160,8213000 ,19510 ,6988000 ,800 ,542000 ,540 ,405000 ,310 ,278000 ,,,,,,,,,,,,
35,35042,Kenora,19620,9478000 ,15920 ,6206000 ,1550 ,1154000 ,1000 ,870000 ,1160 ,1249000 ,,,,,,,,,,,,
35,35043,King--Vaughan,32470,13352000 ,28960 ,10674000 ,1430 ,972000 ,1310 ,1010000 ,760 ,697000 ,,,,,,,,,,,,
35,35044,Kingston and the Islands,33680,13646000 ,31090 ,11678000 ,1360 ,943000 ,800 ,631000 ,430 ,394000 ,,,,,,,,,,,,
35,35045,Kitchener Centre,33750,13863000 ,30720 ,11533000 ,1460 ,1015000 ,900 ,691000 ,670 ,625000 ,,,,,,,,,,,,
35,35046,Kitchener--Conestoga,20090,8045000 ,18210 ,6581000 ,790 ,540000 ,580 ,434000 ,520 ,490000 ,,,,,,,,,,,,
35,35047,Kitchener South--Hespeler,27590,11307000 ,24700 ,9067000 ,1360 ,963000 ,910 ,712000 ,610 ,565000 ,,,,,,,,,,,,
35,35048,Lambton--Kent--Middlesex,27570,11278000 ,25110 ,9352000 ,1070 ,761000 ,760 ,580000 ,620 ,585000 ,,,,,,,,,,,,
35,35049,Lanark--Frontenac--Kingston,25800,10464000 ,23750 ,8901000 ,1080 ,761000 ,620 ,475000 ,350 ,327000 ,,,,,,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,28700,11580000 ,26480 ,9915000 ,1140 ,787000 ,650 ,494000 ,430 ,384000 ,,,,,,,,,,,,
